node_id	patch_id	donor_id	region	section_id	x	y	n_cells	mean_n_transcripts	mapped_confidence_mean	dominant_mapped_cell_type	dominant_mapped_cell_type_fraction	celltype_fraction__unknown	embed_1	embed_2
H19.33.004__1417642343__15_29	H19.33.004__1417642343__15_29	H19.33.004	CN	1417642343	2312.484628018466	4415.374920099432	55	380.1272727272727		unknown	1.0	1.0	1.5195975325919344	1.1895660158122991
H19.33.004__1417642343__16_26	H19.33.004__1417642343__16_26	H19.33.004	CN	1417642343	2477.9481515066964	3985.8402134486605	35	309.6		unknown	1.0	1.0	0.5782663722300383	0.34150019974515655
H19.33.004__1417642343__18_26	H19.33.004__1417642343__18_26	H19.33.004	CN	1417642343	2768.1268669577207	3984.627103917739	34	411.55882352941177		unknown	1.0	1.0	0.8263857442023127	-0.5619247622528831
H19.33.004__1417642343__17_25	H19.33.004__1417642343__17_25	H19.33.004	CN	1417642343	2627.328270164696	3825.53649572424	37	347.6756756756757		unknown	1.0	1.0	0.5304424376774651	1.5189733369658716
H19.33.004__1417642343__17_7	H19.33.004__1417642343__17_7	H19.33.004	CN	1417642343	2632.167301661532	1116.3598942286533	71	487.85915492957747		unknown	1.0	1.0	-0.9274150542620296	1.3088807393172839
H19.33.004__1417642343__17_10	H19.33.004__1417642343__17_10	H19.33.004	CN	1417642343	2586.6211853027344	1594.806869506836	8	296.625		unknown	1.0	1.0	-0.7092234546278926	-1.3388581601863982
H19.33.004__1417642343__13_8	H19.33.004__1417642343__13_8	H19.33.004	CN	1417642343	2026.326707458496	1265.1432723999023	80	485.925		unknown	1.0	1.0	-0.8835347994997312	1.7156945185126316
H19.33.004__1417642343__15_7	H19.33.004__1417642343__15_7	H19.33.004	CN	1417642343	2337.8060008081898	1182.3971241918102	29	533.3448275862069		unknown	1.0	1.0	-1.903523204313736	-0.7770042949342162
H19.33.004__1417642343__14_12	H19.33.004__1417642343__14_12	H19.33.004	CN	1417642343	2166.038195379849	1877.0353877626617	29	289.0689655172414		unknown	1.0	1.0	0.6196294161993114	0.6646967045388639
H19.33.004__1417642343__14_8	H19.33.004__1417642343__14_8	H19.33.004	CN	1417642343	2176.6523758737662	1243.3467085988898	38	472.7105263157895		unknown	1.0	1.0	-1.2499050183102864	0.01849474787634662
H19.33.004__1417642343__12_8	H19.33.004__1417642343__12_8	H19.33.004	CN	1417642343	1879.0828373015872	1286.3658699156747	63	479.3333333333333		unknown	1.0	1.0	-1.591365879266728	0.7192375179292084
H19.33.004__1417642343__9_14	H19.33.004__1417642343__9_14	H19.33.004	CN	1417642343	1431.075948079427	2178.0939371744794	30	278.76666666666665		unknown	1.0	1.0	-0.6765194712937268	1.0143961961607695
H19.33.004__1417642343__10_21	H19.33.004__1417642343__10_21	H19.33.004	CN	1417642343	1573.3618948800224	3234.287344796317	28	331.0357142857143		unknown	1.0	1.0	-0.04683444205913924	-0.15034929164598423
H19.33.004__1417642343__9_19	H19.33.004__1417642343__9_19	H19.33.004	CN	1417642343	1410.9819859095983	2945.88192313058	28	304.17857142857144		unknown	1.0	1.0	0.1296515276812573	0.30928916709775245
H19.33.004__1417642343__11_15	H19.33.004__1417642343__11_15	H19.33.004	CN	1417642343	1707.216447501347	2346.2786823141164	29	333.48275862068965		unknown	1.0	1.0	-0.21745724839296462	-0.10408003444892161
H19.33.004__1417642343__16_21	H19.33.004__1417642343__16_21	H19.33.004	CN	1417642343	2469.967072315705	3218.439672225561	39	385.02564102564105		unknown	1.0	1.0	0.3950347262773661	0.13207980969062358
H19.33.004__1417642343__13_20	H19.33.004__1417642343__13_20	H19.33.004	CN	1417642343	2025.973482019761	3069.461052389706	34	393.61764705882354		unknown	1.0	1.0	0.9672336879336326	0.4889182011497724
H19.33.004__1417642343__13_18	H19.33.004__1417642343__13_18	H19.33.004	CN	1417642343	2050.871481190557	2759.9355256453805	23	210.30434782608697		unknown	1.0	1.0	-0.6512704553159085	0.33825456735000636
H19.33.004__1417642343__12_14	H19.33.004__1417642343__12_14	H19.33.004	CN	1417642343	1888.2172888553505	2181.961174242424	33	297.3939393939394		unknown	1.0	1.0	0.3242327645070956	0.25932826963007644
