donor_id	feature	value
H21.33.039	pca_hvg_14__A9	0.0
H21.33.044	pca_hvg_14__A9	-3.7558615417765395e-07
H21.33.045	pca_hvg_14__A9	-3.4134817639142057e-08
H21.33.046	pca_hvg_14__A9	0.0
H20.33.008	pca_hvg_14__MTG	2.0161290592568548e-07
H20.33.026	pca_hvg_14__MTG	9.888968861559988e-07
H20.33.028	pca_hvg_14__MTG	-3.38754830409016e-07
H20.33.033	pca_hvg_14__MTG	-1.2775086588590057e-06
H20.33.035	pca_hvg_14__MTG	-1.2703739571406913e-07
H20.33.036	pca_hvg_14__MTG	-3.037354900925493e-08
H20.33.037	pca_hvg_14__MTG	3.9780150018486893e-07
H20.33.038	pca_hvg_14__MTG	1.8287003911154898e-07
H20.33.045	pca_hvg_14__MTG	-5.444090334094653e-07
H200.1023	pca_hvg_14__MTG	1.3347325023005396e-07
H21.33.009	pca_hvg_14__MTG	2.955027014195366e-07
H21.33.017	pca_hvg_14__MTG	-1.4096732456891914e-06
H21.33.020	pca_hvg_14__MTG	-2.778662633318163e-08
H21.33.026	pca_hvg_14__MTG	-1.311145041427153e-07
H21.33.029	pca_hvg_14__MTG	5.269594112178311e-07
H21.33.033	pca_hvg_14__MTG	-5.96896470028696e-08
H21.33.034	pca_hvg_14__MTG	1.0615320888973656e-06
H21.33.037	pca_hvg_14__MTG	6.979483941904618e-07
H21.33.038	pca_hvg_14__MTG	3.000256185714534e-07
H21.33.039	pca_hvg_14__MTG	-5.8634995525608247e-08
H21.33.044	pca_hvg_14__MTG	-2.1229465119176893e-07
H21.33.045	pca_hvg_14__MTG	1.331069370280602e-07
H21.33.046	pca_hvg_14__MTG	-8.63812132934072e-08
H20.33.008	pca_hvg_15__A9	0.0
H20.33.026	pca_hvg_15__A9	0.0
H20.33.028	pca_hvg_15__A9	3.6839540307198604e-09
H20.33.033	pca_hvg_15__A9	0.0
H20.33.035	pca_hvg_15__A9	0.0
H20.33.036	pca_hvg_15__A9	-2.4828659661579877e-07
H20.33.037	pca_hvg_15__A9	0.0
H20.33.038	pca_hvg_15__A9	3.3022296008766716e-08
H20.33.045	pca_hvg_15__A9	0.0
H200.1023	pca_hvg_15__A9	0.0
H21.33.009	pca_hvg_15__A9	0.0
H21.33.017	pca_hvg_15__A9	0.0
H21.33.020	pca_hvg_15__A9	5.288001716508006e-07
H21.33.026	pca_hvg_15__A9	0.0
H21.33.029	pca_hvg_15__A9	0.0
H21.33.033	pca_hvg_15__A9	0.0
H21.33.034	pca_hvg_15__A9	-2.5678505721771216e-07
H21.33.037	pca_hvg_15__A9	0.0
H21.33.038	pca_hvg_15__A9	0.0
H21.33.039	pca_hvg_15__A9	0.0
H21.33.044	pca_hvg_15__A9	-2.7699181259777106e-07
H21.33.045	pca_hvg_15__A9	1.9393500849673728e-07
H21.33.046	pca_hvg_15__A9	0.0
H20.33.008	pca_hvg_15__MTG	4.4796587417295086e-07
H20.33.026	pca_hvg_15__MTG	-7.19039576324576e-07
H20.33.028	pca_hvg_15__MTG	8.38961625504453e-07
H20.33.033	pca_hvg_15__MTG	1.3492797279468505e-06
H20.33.035	pca_hvg_15__MTG	3.0512691751027887e-07
H20.33.036	pca_hvg_15__MTG	8.69595510266663e-07
H20.33.037	pca_hvg_15__MTG	4.6871357994859864e-07
H20.33.038	pca_hvg_15__MTG	1.1494402230027845e-07
H20.33.045	pca_hvg_15__MTG	7.499198773075477e-07
H200.1023	pca_hvg_15__MTG	-4.360371619327452e-08
H21.33.009	pca_hvg_15__MTG	4.40964527115284e-08
H21.33.017	pca_hvg_15__MTG	3.3341165384115357e-09
H21.33.020	pca_hvg_15__MTG	3.0109256954347074e-07
H21.33.026	pca_hvg_15__MTG	-2.4832090161908127e-07
H21.33.029	pca_hvg_15__MTG	4.450665969102374e-08
H21.33.033	pca_hvg_15__MTG	1.1672466371237533e-06
H21.33.034	pca_hvg_15__MTG	-8.141816465467855e-08
H21.33.037	pca_hvg_15__MTG	6.520352968664156e-08
H21.33.038	pca_hvg_15__MTG	-3.0269546869021724e-08
H21.33.039	pca_hvg_15__MTG	1.2004446716673556e-06
H21.33.044	pca_hvg_15__MTG	-5.48670641364879e-07
H21.33.045	pca_hvg_15__MTG	-1.9406743945182825e-07
H21.33.046	pca_hvg_15__MTG	-4.905695050183567e-07
H20.33.008	pca_hvg_16__A9	0.0
H20.33.026	pca_hvg_16__A9	0.0
H20.33.028	pca_hvg_16__A9	-1.8280076119481237e-07
H20.33.033	pca_hvg_16__A9	0.0
H20.33.035	pca_hvg_16__A9	0.0
H20.33.036	pca_hvg_16__A9	-2.561596375016961e-07
H20.33.037	pca_hvg_16__A9	0.0
H20.33.038	pca_hvg_16__A9	-8.690410879808041e-08
H20.33.045	pca_hvg_16__A9	0.0
H200.1023	pca_hvg_16__A9	0.0
H21.33.009	pca_hvg_16__A9	0.0
H21.33.017	pca_hvg_16__A9	0.0
H21.33.020	pca_hvg_16__A9	-5.660204465129937e-07
H21.33.026	pca_hvg_16__A9	0.0
H21.33.029	pca_hvg_16__A9	0.0
H21.33.033	pca_hvg_16__A9	0.0
H21.33.034	pca_hvg_16__A9	2.994426893110358e-07
H21.33.037	pca_hvg_16__A9	0.0
H21.33.038	pca_hvg_16__A9	0.0
H21.33.039	pca_hvg_16__A9	0.0
H21.33.044	pca_hvg_16__A9	-4.2883326045739523e-07
H21.33.045	pca_hvg_16__A9	-9.15371103360485e-08
H21.33.046	pca_hvg_16__A9	0.0
H20.33.008	pca_hvg_16__MTG	4.957801706950704e-07
H20.33.026	pca_hvg_16__MTG	2.4334767658729106e-06
H20.33.028	pca_hvg_16__MTG	9.119630135501211e-07
H20.33.033	pca_hvg_16__MTG	-1.972785184989334e-06
H20.33.035	pca_hvg_16__MTG	-6.393893841050158e-07
H20.33.036	pca_hvg_16__MTG	-4.743158754649812e-08
H20.33.037	pca_hvg_16__MTG	7.549328984168824e-07
H20.33.038	pca_hvg_16__MTG	3.9051318623251063e-08
H20.33.045	pca_hvg_16__MTG	7.725359978394408e-07
H200.1023	pca_hvg_16__MTG	1.0510581205380731e-07
H21.33.009	pca_hvg_16__MTG	2.5913724499559976e-08
H21.33.017	pca_hvg_16__MTG	-7.348217678782021e-08
H21.33.020	pca_hvg_16__MTG	1.308836658608925e-06
H21.33.026	pca_hvg_16__MTG	-2.852652301044145e-07
H21.33.029	pca_hvg_16__MTG	3.860611172967765e-07
H21.33.033	pca_hvg_16__MTG	8.719009088054008e-07
H21.33.034	pca_hvg_16__MTG	1.944534773201667e-07
H21.33.037	pca_hvg_16__MTG	3.5516018215275835e-07
H21.33.038	pca_hvg_16__MTG	-1.3616290317486346e-08
H21.33.039	pca_hvg_16__MTG	-8.452899464828079e-07
H21.33.044	pca_hvg_16__MTG	-8.842851002555108e-07
H21.33.045	pca_hvg_16__MTG	4.2987687720597023e-07
H21.33.046	pca_hvg_16__MTG	-2.161404779599252e-07
H20.33.008	pca_hvg_17__A9	0.0
H20.33.026	pca_hvg_17__A9	0.0
H20.33.028	pca_hvg_17__A9	-2.05352623794397e-08
H20.33.033	pca_hvg_17__A9	0.0
H20.33.035	pca_hvg_17__A9	0.0
H20.33.036	pca_hvg_17__A9	7.312912941870309e-09
H20.33.037	pca_hvg_17__A9	0.0
H20.33.038	pca_hvg_17__A9	8.852393307279272e-07
H20.33.045	pca_hvg_17__A9	0.0
H200.1023	pca_hvg_17__A9	0.0
H21.33.009	pca_hvg_17__A9	0.0
H21.33.017	pca_hvg_17__A9	0.0
