donor_id	region	section_id	n_cells_total	n_cells_retained	retained_fraction	median_n_transcripts	median_n_genes	zero_transcript_fraction	section_pass	section_root	cells_path	matrix_path
H20.33.031	CN	1417644667	32134	31107	0.9680400821559718	270.0	91.0	0.0090247090309329	True	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.031\1417644667\xenium_output_and_alignment\output-XETG00214__0036210__1417644667__20250326__200820	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.031\1417644667\xenium_output_and_alignment\output-XETG00214__0036210__1417644667__20250326__200820\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.031\1417644667\xenium_output_and_alignment\output-XETG00214__0036210__1417644667__20250326__200820\cell_feature_matrix\matrix.mtx.gz
H20.33.031	CN	1417644670	29662	28935	0.9754905265996898	262.0	90.0	0.0016519452498145	True	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.031\1417644670\xenium_output_and_alignment\output-XETG00044__0036986__1417644670__20250409__170351	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.031\1417644670\xenium_output_and_alignment\output-XETG00044__0036986__1417644670__20250409__170351\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.031\1417644670\xenium_output_and_alignment\output-XETG00044__0036986__1417644670__20250409__170351\cell_feature_matrix\matrix.mtx.gz
H20.33.031	CN	1417644673	30108	29382	0.9758868074930253	260.0	90.0	0.0013617643151321	True	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.031\1417644673\xenium_output_and_alignment\output-XETG00044__0036986__1417644673__20250409__170351	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.031\1417644673\xenium_output_and_alignment\output-XETG00044__0036986__1417644673__20250409__170351\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H20.33.031\1417644673\xenium_output_and_alignment\output-XETG00044__0036986__1417644673__20250409__170351\cell_feature_matrix\matrix.mtx.gz
H21.33.002	CN	1417648780	53725	52603	0.9791158678455096	253.0	90.0	0.0025500232666356	True	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.002\1417648780\xenium_output_and_alignment\output-XETG00214__0050294__1417648780__20250409__170035	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.002\1417648780\xenium_output_and_alignment\output-XETG00214__0050294__1417648780__20250409__170035\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.002\1417648780\xenium_output_and_alignment\output-XETG00214__0050294__1417648780__20250409__170035\cell_feature_matrix\matrix.mtx.gz
H21.33.002	CN	1417648783	51424	50781	0.9874961107654012	311.0	100.0	0.0017696017423771	True	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.002\1417648783\xenium_output_and_alignment\output-XETG00214__0050294__1417648783__20250409__170035	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.002\1417648783\xenium_output_and_alignment\output-XETG00214__0050294__1417648783__20250409__170035\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.002\1417648783\xenium_output_and_alignment\output-XETG00214__0050294__1417648783__20250409__170035\cell_feature_matrix\matrix.mtx.gz
H21.33.002	CN	1417648792	57364	56744	0.9891918276270832	329.0	107.0	0.0019175789693884	True	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.002\1417648792\xenium_output_and_alignment\output-XETG00214__0031372__1417648792__20250305__210858	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.002\1417648792\xenium_output_and_alignment\output-XETG00214__0031372__1417648792__20250305__210858\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.002\1417648792\xenium_output_and_alignment\output-XETG00214__0031372__1417648792__20250305__210858\cell_feature_matrix\matrix.mtx.gz
H21.33.002	CN	1417648795	57794	57174	0.9892722427933696	323.0	106.0	0.0015572550783818	True	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.002\1417648795\xenium_output_and_alignment\output-XETG00214__0031372__1417648795__20250305__210859	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.002\1417648795\xenium_output_and_alignment\output-XETG00214__0031372__1417648795__20250305__210859\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.002\1417648795\xenium_output_and_alignment\output-XETG00214__0031372__1417648795__20250305__210859\cell_feature_matrix\matrix.mtx.gz
H21.33.004	CN	1417649139	39360	37216	0.9455284552845528	145.0	67.0	0.0023628048780487	True	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.004\1417649139\xenium_output_and_alignment\output-XETG00220__0036191__1417649139__20250409__182706	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.004\1417649139\xenium_output_and_alignment\output-XETG00220__0036191__1417649139__20250409__182706\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.004\1417649139\xenium_output_and_alignment\output-XETG00220__0036191__1417649139__20250409__182706\cell_feature_matrix\matrix.mtx.gz
H21.33.004	CN	1417649142	40459	38858	0.9604290763488964	185.0	75.0	0.0013099681158703	True	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.004\1417649142\xenium_output_and_alignment\output-XETG00220__0036191__1417649142__20250409__182706	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.004\1417649142\xenium_output_and_alignment\output-XETG00220__0036191__1417649142__20250409__182706\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.004\1417649142\xenium_output_and_alignment\output-XETG00220__0036191__1417649142__20250409__182706\cell_feature_matrix\matrix.mtx.gz
H21.33.027	CN	1417649441	73254	69368	0.9469517022961204	181.0	75.0	0.0016517869331367	True	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.027\1417649441\xenium_output_and_alignment\output-XETG00044__0036776__1417649441__20250305__205123	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.027\1417649441\xenium_output_and_alignment\output-XETG00044__0036776__1417649441__20250305__205123\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.027\1417649441\xenium_output_and_alignment\output-XETG00044__0036776__1417649441__20250305__205123\cell_feature_matrix\matrix.mtx.gz
H21.33.027	CN	1417649444	71306	68486	0.9604521358651446	181.0	75.0	0.0012481418113482	True	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.027\1417649444\xenium_output_and_alignment\output-XETG00044__0036776__1417649444__20250305__205123	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.027\1417649444\xenium_output_and_alignment\output-XETG00044__0036776__1417649444__20250305__205123\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.027\1417649444\xenium_output_and_alignment\output-XETG00044__0036776__1417649444__20250305__205123\cell_feature_matrix\matrix.mtx.gz
H21.33.027	CN	1417649447	49783	48411	0.9724403912982345	247.0	87.0	0.0031536870015868	True	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.027\1417649447\xenium_output_and_alignment\output-XETG00220__0036774__1417649447__20250319__191739	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.027\1417649447\xenium_output_and_alignment\output-XETG00220__0036774__1417649447__20250319__191739\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.027\1417649447\xenium_output_and_alignment\output-XETG00220__0036774__1417649447__20250319__191739\cell_feature_matrix\matrix.mtx.gz
H21.33.027	CN	1417649450	50020	34038	0.6804878048780488	67.0	37.0	0.0101959216313474	True	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.027\1417649450\xenium_output_and_alignment\output-XETG00220__0036774__1417649450__20250319__191739	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.027\1417649450\xenium_output_and_alignment\output-XETG00220__0036774__1417649450__20250319__191739\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.027\1417649450\xenium_output_and_alignment\output-XETG00220__0036774__1417649450__20250319__191739\cell_feature_matrix\matrix.mtx.gz
H21.33.038	CN	1417649873	23151	22365	0.9660489827653234	230.0	82.0	0.0048378039825493	True	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.038\1417649873\xenium_output_and_alignment\output-XETG00220__0036900__1417649873__20250409__182706	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.038\1417649873\xenium_output_and_alignment\output-XETG00220__0036900__1417649873__20250409__182706\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.038\1417649873\xenium_output_and_alignment\output-XETG00220__0036900__1417649873__20250409__182706\cell_feature_matrix\matrix.mtx.gz
H21.33.038	CN	1417649876	23647	22926	0.9695098744026728	235.0	83.0	0.0030024950310821	True	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.038\1417649876\xenium_output_and_alignment\output-XETG00220__0036900__1417649876__20250409__182706	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.038\1417649876\xenium_output_and_alignment\output-XETG00220__0036900__1417649876__20250409__182706\cells.parquet	data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.038\1417649876\xenium_output_and_alignment\output-XETG00220__0036900__1417649876__20250409__182706\cell_feature_matrix\matrix.mtx.gz
