dataset_id	display_name	modality	source_page_url	link_title	remote_url	file_type	direct_download	manual_download_needed	local_target_path
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.031_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\donor_objects\H21.33.031_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.032_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\donor_objects\H21.33.032_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.033_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\donor_objects\H21.33.033_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.034_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\donor_objects\H21.33.034_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.035_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\donor_objects\H21.33.035_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.036_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\donor_objects\H21.33.036_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.037_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\donor_objects\H21.33.037_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.038_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\donor_objects\H21.33.038_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.039_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\donor_objects\H21.33.039_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.040_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\donor_objects\H21.33.040_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.041_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\donor_objects\H21.33.041_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.042_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\donor_objects\H21.33.042_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.043_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\donor_objects\H21.33.043_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.044_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\donor_objects\H21.33.044_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.045_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\donor_objects\H21.33.045_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.046_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\donor_objects\H21.33.046_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H21.33.047_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\donor_objects\H21.33.047_SEAAD_MTG_ATACseq_final-nuclei.2024-12-06.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H19.30.002_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H19.30.002_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H19.30.004_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H19.30.004_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H19.33.004_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H19.33.004_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.018_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H20.33.018_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.020_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H20.33.020_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
processed_single_nucleus_rnaseq_and_atacseq	SEA-AD processed single nucleus RNAseq and ATAC-seq	snrna		H20.33.024_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad		h5ad	0	0	data\raw\processed_single_nucleus_rnaseq_and_atacseq\MTG\ATACseq\previous_objects\donor_objects\H20.33.024_SEAAD_MTG_ATACseq_final-nuclei.2024-02-13.h5ad
