2026-03-27 19:25:51,080 | INFO | 06_spatial_qc | Spatial section load start | donor=H21.33.027 | region=CN | section=1417649444 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.027\1417649444\xenium_output_and_alignment\output-XETG00044__0036776__1417649444__20250305__205123
2026-03-27 19:25:57,866 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H21.33.027 | region=CN | section=1417649444 | retained=68486/71306
2026-03-27 19:25:57,867 | INFO | 06_spatial_qc | Spatial section load start | donor=H21.33.027 | region=CN | section=1417649447 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.027\1417649447\xenium_output_and_alignment\output-XETG00220__0036774__1417649447__20250319__191739
2026-03-27 19:26:02,969 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H21.33.027 | region=CN | section=1417649447 | retained=48411/49783
2026-03-27 19:26:02,969 | INFO | 06_spatial_qc | Spatial section load start | donor=H21.33.027 | region=CN | section=1417649450 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.027\1417649450\xenium_output_and_alignment\output-XETG00220__0036774__1417649450__20250319__191739
2026-03-27 19:26:07,138 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H21.33.027 | region=CN | section=1417649450 | retained=34038/50020
2026-03-27 19:26:07,139 | INFO | 06_spatial_qc | Spatial section load start | donor=H21.33.038 | region=CN | section=1417649873 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.038\1417649873\xenium_output_and_alignment\output-XETG00220__0036900__1417649873__20250409__182706
2026-03-27 19:26:09,456 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H21.33.038 | region=CN | section=1417649873 | retained=22365/23151
2026-03-27 19:26:09,457 | INFO | 06_spatial_qc | Spatial section load start | donor=H21.33.038 | region=CN | section=1417649876 | root=data\raw\spatial_transcriptomics\caudate_nucleus\H21.33.038\1417649876\xenium_output_and_alignment\output-XETG00220__0036900__1417649876__20250409__182706
2026-03-27 19:26:11,884 | INFO | 06_spatial_qc | Spatial section QC complete | donor=H21.33.038 | region=CN | section=1417649876 | retained=22926/23647
